question,cypher,data_source,instance_id,database_reference_alias
"List the names of the games played by streams that have a total view count greater than 50,000,000.",MATCH (s:Stream)-[:PLAYS]->(g:Game) WHERE s.total_view_count > 50000000 RETURN DISTINCT g.name,neo4jLabs_synthetic_gemini,instance_id_34035,neo4jlabs_demo_db_twitch
Which movies released between 1990 and 2000 have more than 5000 votes?,"MATCH (m:Movie) WHERE m.released >= 1990 AND m.released <= 2000   AND m.votes > 5000 RETURN m.title, m.released, m.votes",neo4jLabs_synthetic_claudeopus,instance_id_35060,neo4jlabs_demo_db_movies
Which movie has the highest budget?,MATCH (m:Movie) RETURN m ORDER BY m.budget DESC LIMIT 1,neo4jLabs_synthetic_gemini,instance_id_29305,neo4jlabs_demo_db_recommendations
List the top 5 actors with the most roles in movies released before 1980.,"MATCH (a:Actor)-[r:ACTED_IN]->(m:Movie) WHERE m.year < 1980 RETURN a.name, count(r) AS roles ORDER BY roles DESC LIMIT 5",neo4jLabs_synthetic_gpt4turbo,instance_id_24783,neo4jlabs_demo_db_recommendations
How many different types of switches are held in rack 'DC1-RCK-1-1'?,MATCH (rack:Rack {name: 'DC1-RCK-1-1'})-[:HOLDS]->(switch:Switch) RETURN COUNT(DISTINCT switch.ip) AS numberOfSwitchTypes,neo4jLabs_synthetic_gpt4o,instance_id_43712,neo4jlabs_demo_db_network
Which movies have been rated exactly 5 stars by at least one user?,MATCH (u:User)-[r:RATED]->(m:Movie) WHERE r.rating = 5.0 RETURN DISTINCT m.title AS MovieTitle,neo4jLabs_synthetic_gpt4o,instance_id_42675,neo4jlabs_demo_db_recommendations
Which applications are dependent on the service with name 'java'?,MATCH (s:Service {name: 'java'})<-[:DEPENDS_ON]-(a:Application) RETURN a.name AS application_name,neo4jLabs_synthetic_gemini,instance_id_31672,neo4jlabs_demo_db_network
What are the first 5 movies that have a character played by a person with gender 1?,MATCH (p:Person {gender: 1})-[:CAST_FOR]->(m:Movie) RETURN m LIMIT 5,neo4jLabs_synthetic_gpt4turbo,instance_id_23242,neo4jlabs_demo_db_eoflix
List the first 3 movies where the main actor is also the director.,MATCH (p:Person)-[:ACTED_IN]->(m:Movie)<-[:DIRECTED]-(p) RETURN m.title LIMIT 3,neo4jLabs_synthetic_claudeopus,instance_id_35264,neo4jlabs_demo_db_recommendations
"Which streams have a follower count between 200,000 and 500,000, listing the first 5?",MATCH (s:Stream) WHERE s.followers >= 200000 AND s.followers <= 500000 RETURN s LIMIT 5,neo4jLabs_synthetic_gpt4turbo,instance_id_25461,neo4jlabs_demo_db_twitch
List the top 3 most followed users who mention 'neo4j' in their tweets.,"MATCH (u:User)-[:POSTS]->(t:Tweet)-[:MENTIONS]->(m:Me {screen_name: 'neo4j'}) RETURN u.name, u.followers ORDER BY u.followers DESC LIMIT 3",neo4jLabs_synthetic_gpt4o,instance_id_43196,neo4jlabs_demo_db_twitter
